symbol,yf_ticker,company,sector,close,pass_trend_template,trend_template_hits,rs_rating,vcp_detected,vcp_score,pivot,distance_to_pivot_pct,notes
FTE,FTE.BK,FIRETRADE ENGINEERING PUBLIC COMPANY LIMITED,Industrial Materials & Machinery,2.72,True,7,90.0,False,0.0,2.74,0.63,
MORE,MORE.BK,MORE RETURN PUBLIC COMPANY LIMITED,-,0.07,True,7,90.0,False,0.0,,,
CHARAN,CHARAN.BK,CHARAN INSURANCE PUBLIC COMPANY LIMITED,Insurance,20.4,True,7,88.0,False,0.0,18.6,-8.82,
MDX,MDX.BK,M.D.X. PUBLIC COMPANY LIMITED,Energy & Utilities,3.58,True,7,88.0,False,0.0,3.76,5.03,
PIMO,PIMO.BK,PIONEER MOTOR PUBLIC COMPANY LIMITED,-,1.41,True,7,88.0,False,0.0,1.11,-21.21,
SPCG,SPCG.BK,SPCG PUBLIC COMPANY LIMITED,Energy & Utilities,11.4,True,7,88.0,False,0.0,,,
TWP,TWP.BK,THAI WIRE PRODUCTS PUBLIC COMPANY LIMITED,Steel and Metal Products,1.62,True,7,88.0,False,0.0,1.92,18.52,
KCM,KCM.BK,K.C. METALSHEET PUBLIC COMPANY LIMITED,-,0.3,True,7,87.0,False,0.0,0.3,0.0,
POWER,POWER.BK,POWER SOLUTION TECHNOLOGIES PUBLIC COMPANY LIMITED,-,0.4,True,7,87.0,False,0.0,0.33,-17.5,
KBANK,KBANK.BK,KASIKORNBANK PUBLIC COMPANY LIMITED,Banking,247.0,True,7,86.0,False,0.0,252.0,2.02,
KTBSTMR,KTBSTMR.BK,KTBST MIXED FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property Fund & REITs,7.05,True,7,86.0,False,0.0,7.39,4.84,
UBA,UBA.BK,Utility Business Alliance Public Company Limited,-,1.27,True,7,86.0,False,0.0,1.11,-12.6,
GC,GC.BK,GLOBAL CONNECTIONS PUBLIC COMPANY LIMITED,Petrochemicals & Chemicals,5.3,True,7,85.0,False,0.0,5.55,4.63,
WHAIR,WHAIR.BK,WHA INDUSTRIAL LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property Fund & REITs,8.3,True,7,85.0,False,0.0,7.23,-12.86,
TPBI,TPBI.BK,TPBI PUBLIC COMPANY LIMITED,Packaging,3.7,True,7,84.0,False,0.0,3.6,-2.7,
TRC,TRC.BK,TRC CONSTRUCTION PUBLIC COMPANY LIMITED,Construction Services,0.6,True,7,84.0,False,0.0,0.59,-1.67,
APP,APP.BK,APPLICAD PUBLIC COMPANY LIMITED,-,3.08,True,7,83.0,False,0.0,2.56,-16.88,
KTC,KTC.BK,KRUNGTHAI CARD PUBLIC COMPANY LIMITED,Finance & Securities,37.5,True,7,83.0,False,0.0,40.5,8.0,
QHHRREIT,QHHRREIT.BK,Quality Houses Hotel and Residence Freehold and Leasehold Real Estate Investment Trust,Property Fund & REITs,8.5,True,7,83.0,False,0.0,6.95,-18.21,
RPC,RPC.BK,RPCG PUBLIC COMPANY LIMITED,Energy & Utilities,0.4,True,7,83.0,False,0.0,0.38,-5.0,
SUTHA,SUTHA.BK,GOLDEN LIME PUBLIC COMPANY LIMITED,Petrochemicals & Chemicals,3.26,True,7,83.0,False,0.0,2.74,-15.95,
